region,area,sort,rate
total,city,underweight,7.7
total,city,normal,58.8
total,city,overweight,27.1
total,city,obesity,6.4
total,countryside,underweight,9.1
total,countryside,normal,64
total,countryside,overweight,22.3
total,countryside,obesity,4.5
east,city,underweight,6.4
east,city,normal,57.6
east,city,overweight,28.8
east,city,obesity,7.2
east,countryside,underweight,7.7
east,countryside,normal,61.8
east,countryside,overweight,25
east,countryside,obesity,5.6
mid,city,underweight,7.5
mid,city,normal,58.8
mid,city,overweight,27.6
mid,city,obesity,6.1
mid,countryside,underweight,9.3
mid,countryside,normal,63.6
mid,countryside,overweight,22.8
mid,countryside,obesity,4.3
west,city,underweight,9.2
west,city,normal,60.2
west,city,overweight,24.9
west,city,obesity,5.7
west,countryside,underweight,10.5
west,countryside,normal,66.4
west,countryside,overweight,19.7
west,countryside,obesity,3.5
