time,region,sort,morbidity,,,,
1993,total_areas,infection,5.3,,单位：‰,,
1993,urban_areas,infection,5.2,,,,
1993,rural_areas,infection,5.4,,,传染病,infection
1993,total_areas,parasitosis,0.4,,,寄生虫病,Parasitosis
1993,urban_areas,parasitosis,0.3,,,肿瘤,tumour
1993,rural_areas,parasitosis,0.5,,,糖尿病,diabetes
1993,total_areas,tumour,1.9,,,精神病,psychosis
1993,urban_areas,tumour,4,,,肝硬化,cirrhosis
1993,rural_areas,tumour,1.2,,,高血压,hypertension
1993,total_areas,diabetes,1.9,,,眼及附器疾病,eye
1993,urban_areas,diabetes,6.4,,,耳和乳突疾病,ear
1993,rural_areas,diabetes,0.4,,,脑血管病,cerebrovascular_diseases
1993,total_areas,blood,3.1,,,胆囊疾病,gallbladder
1993,urban_areas,blood,3.4,,,,
1993,rural_areas,blood,3,,,皮肤皮下组织,skin
1993,total_areas,psychosis,1.8,,,先天异常,congenital_anomalies
1993,urban_areas,psychosis,2.1,,,损伤和中毒,injury_and_poisoning
1993,rural_areas,psychosis,1.7,,,其他,others
1993,total_areas,neuropathy,5.5,,,"妊娠,分娩病及产褥期并发症",gestation
1993,urban_areas,neuropathy,6.4,,,围产期疾病,perinatal_diseases
1993,rural_areas,neuropathy,5.3,,,心脏病,cardiopathy
1993,total_areas,eye,3.4,,,老年慢性支气管炎,enile_chronic_bronchitis
1993,urban_areas,eye,6.7,,,急性胃炎,acute_gastritis
1993,rural_areas,eye,2.3,,,类关节炎,rheumatoid_arthritis
1993,total_areas,cardiopathy,13.1,,,,
1993,urban_areas,cardiopathy,33.8,,,,
1993,rural_areas,cardiopathy,6.1,,,,
1993,total_areas,hypertension,11.9,,,,
1993,urban_areas,hypertension,29.8,,,,
1993,rural_areas,hypertension,5.9,,,,
1993,total_areas,cerebrovascular_diseases,4,,,,
1993,urban_areas,cerebrovascular_diseases,9.8,,,,
1993,rural_areas,cerebrovascular_diseases,2,,,,
1993,total_areas,enile_chronic_bronchitis,13.8,,,,
1993,urban_areas,enile_chronic_bronchitis,15.9,,,,
1993,rural_areas,enile_chronic_bronchitis,13,,,,
1993,total_areas,acute_gastritis,16.2,,,,
1993,urban_areas,acute_gastritis,16.1,,,,
1993,rural_areas,acute_gastritis,16.2,,,,
1993,total_areas,cirrhosis,2.1,,,,
1993,urban_areas,cirrhosis,2.7,,,,
1993,rural_areas,cirrhosis,1.9,,,,
1993,total_areas,gallbladder,5.6,,,,
1993,urban_areas,gallbladder,12.8,,,,
1993,rural_areas,gallbladder,3.2,,,,
1993,total_areas,skin,2.7,,,,
1993,urban_areas,skin,3.4,,,,
1993,rural_areas,skin,2.4,,,,
1993,total_areas,rheumatoid_arthritis,13.5,,,,
1993,urban_areas,rheumatoid_arthritis,14.6,,,,
1993,rural_areas,rheumatoid_arthritis,13.1,,,,
1993,total_areas,congenital_anomalies,0.3,,,,
1993,urban_areas,congenital_anomalies,0.7,,,,
1993,rural_areas,congenital_anomalies,0.2,,,,
1993,total_areas,injury_and_poisoning,1.3,,,,
1993,urban_areas,injury_and_poisoning,2,,,,
1993,rural_areas,injury_and_poisoning,1.1,,,,
1993,total_areas,others,0.1,,,,
1993,urban_areas,others,0,,,,
1993,rural_areas,others,0.1,,,,
1993,total_areas,total,169.8,,,,
1993,urban_areas,total,285.8,,,,
1993,rural_areas,total,130.7,,,,
1998,total_areas,infection,4.8,,,,
1998,urban_areas,infection,5.8,,,,
1998,rural_areas,infection,4.5,,,,
1998,total_areas,parasitosis,0.5,,,,
1998,urban_areas,parasitosis,0.3,,,,
1998,rural_areas,parasitosis,0.6,,,,
1998,total_areas,tumour,2.1,,,,
1998,urban_areas,tumour,4.2,,,,
1998,rural_areas,tumour,1.4,,,,
1998,total_areas,diabetes,3.2,,,,
1998,urban_areas,diabetes,9.8,,,,
1998,rural_areas,diabetes,0.9,,,,
1998,total_areas,blood,2.9,,,,
1998,urban_areas,blood,3.3,,,,
1998,rural_areas,blood,2.7,,,,
1998,total_areas,psychosis,1.9,,,,
1998,urban_areas,psychosis,2.4,,,,
1998,rural_areas,psychosis,1.8,,,,
1998,total_areas,neuropathy,5,,,,
1998,urban_areas,neuropathy,5.8,,,,
1998,rural_areas,neuropathy,4.8,,,,
1998,total_areas,eye,4.3,,,,
1998,urban_areas,eye,9.4,,,,
1998,rural_areas,eye,2.5,,,,
1998,total_areas,cardiopathy,14.2,,,,
1998,urban_areas,cardiopathy,34.5,,,,
1998,rural_areas,cardiopathy,7.4,,,,
1998,total_areas,hypertension,15.8,,,,
1998,urban_areas,hypertension,39.3,,,,
1998,rural_areas,hypertension,7.9,,,,
1998,total_areas,cerebrovascular_diseases,5.9,,,,
1998,urban_areas,cerebrovascular_diseases,13.1,,,,
1998,rural_areas,cerebrovascular_diseases,3.4,,,,
1998,total_areas,enile_chronic_bronchitis,12.9,,,,
1998,urban_areas,enile_chronic_bronchitis,18.7,,,,
1998,rural_areas,enile_chronic_bronchitis,10.9,,,,
1998,total_areas,acute_gastritis,14.3,,,,
1998,urban_areas,acute_gastritis,16.2,,,,
1998,rural_areas,acute_gastritis,13.6,,,,
1998,total_areas,cirrhosis,1.7,,,,
1998,urban_areas,cirrhosis,2.7,,,,
1998,rural_areas,cirrhosis,1.4,,,,
1998,total_areas,gallbladder,6.4,,,,
1998,urban_areas,gallbladder,12.8,,,,
1998,rural_areas,gallbladder,4.2,,,,
1998,total_areas,skin,2.5,,,,
1998,urban_areas,skin,3.6,,,,
1998,rural_areas,skin,2.1,,,,
1998,total_areas,rheumatoid_arthritis,11.5,,,,
1998,urban_areas,rheumatoid_arthritis,12.8,,,,
1998,rural_areas,rheumatoid_arthritis,11.1,,,,
1998,total_areas,congenital_anomalies,0.6,,,,
1998,urban_areas,congenital_anomalies,0.6,,,,
1998,rural_areas,congenital_anomalies,0.6,,,,
1998,total_areas,injury_and_poisoning,2.9,,,,
1998,urban_areas,injury_and_poisoning,3.2,,,,
1998,rural_areas,injury_and_poisoning,2.7,,,,
1998,total_areas,others,0.4,,,,
1998,urban_areas,others,0.5,,,,
1998,rural_areas,others,0.4,,,,
1998,total_areas,total,157.5,,,,
1998,urban_areas,total,273.3,,,,
1998,rural_areas,total,118.4,,,,
2003,total_areas,infection,2.7,,,,
2003,urban_areas,infection,2.4,,,,
2003,rural_areas,infection,2.8,,,,
2003,total_areas,parasitosis,0.1,,,,
2003,urban_areas,parasitosis,0.2,,,,
2003,rural_areas,parasitosis,0.1,,,,
2003,total_areas,tumour,2.1,,,,
2003,urban_areas,tumour,3.6,,,,
2003,rural_areas,tumour,1.4,,,,
2003,total_areas,diabetes,5.6,,,,
2003,urban_areas,diabetes,16.3,,,,
2003,rural_areas,diabetes,1.9,,,,
2003,total_areas,blood,1.9,,,,
2003,urban_areas,blood,1.6,,,,
2003,rural_areas,blood,2,,,,
2003,total_areas,psychosis,1.9,,,,
2003,urban_areas,psychosis,2.4,,,,
2003,rural_areas,psychosis,1.8,,,,
2003,total_areas,neuropathy,3.9,,,,
2003,urban_areas,neuropathy,4.6,,,,
2003,rural_areas,neuropathy,3.7,,,,
2003,total_areas,eye,2.8,,,,
2003,urban_areas,eye,4.6,,,,
2003,rural_areas,eye,2.1,,,,
2003,total_areas,cardiopathy,14.3,,,,
2003,urban_areas,cardiopathy,32.8,,,,
2003,rural_areas,cardiopathy,7.9,,,,
2003,total_areas,hypertension,26.2,,,,
2003,urban_areas,hypertension,54.7,,,,
2003,rural_areas,hypertension,16.4,,,,
2003,total_areas,cerebrovascular_diseases,6.6,,,,
2003,urban_areas,cerebrovascular_diseases,13,,,,
2003,rural_areas,cerebrovascular_diseases,4.4,,,,
2003,total_areas,enile_chronic_bronchitis,7.5,,,,
2003,urban_areas,enile_chronic_bronchitis,8.2,,,,
2003,rural_areas,enile_chronic_bronchitis,7.3,,,,
2003,total_areas,acute_gastritis,10.3,,,,
2003,urban_areas,acute_gastritis,9.8,,,,
2003,rural_areas,acute_gastritis,10.5,,,,
2003,total_areas,cirrhosis,1.2,,,,
