sort,region,rate
>6,total,13.4
>6,urban_total,21
>6,urban_east,22.8
>6,urban_mid,22.7
>6,urban_west,17.5
>6,rural_total,5.7
>6,rural_east,6.5
>6,rural_mid,5.4
>6,rural_west,5.1
3_5,total,7.6
3_5,urban_total,10.7
3_5,urban_east,12.3
3_5,urban_mid,9.9
3_5,urban_west,9.8
3_5,rural_total,4.5
3_5,rural_east,5.3
3_5,rural_mid,4.4
3_5,rural_west,3.7
1_2,total,6.8
1_2,urban_total,10.2
1_2,urban_east,12.1
1_2,urban_mid,9.5
1_2,urban_west,8.8
1_2,rural_total,3.5
1_2,rural_east,4.6
1_2,rural_mid,3.5
1_2,rural_west,2.4
<1,total,1.9
<1,urban_total,3
<1,urban_east,3.6
<1,urban_mid,2.8
<1,urban_west,2.5
<1,rural_total,0.9
<1,rural_east,1
<1,rural_mid,1
<1,rural_west,0.6
never,total,70.3
never,urban_total,55.1
never,urban_east,49.1
never,urban_mid,55.1
never,urban_west,61.5
never,rural_total,85.5
never,rural_east,82.6
never,rural_mid,85.6
never,rural_west,88.3
