time,age,sex,morbidity,,
2010,7_9,m,10.1,,µ¥Î»£º%
2010,7_9,f,9.7,,
2010,7_9,total,9.9,,
2010,10_12,m,13.4,,
2010,10_12,f,12.5,,
2010,10_12,total,13,,
2010,13_15,m,18.5,,
2010,13_15,f,14.2,,
2010,13_15,total,16.4,,
2010,16_17,m,25.6,,
2010,16_17,f,16.3,,
2010,16_17,total,21,,
1991,n,m,7.5,,
1991,n,f,6.6,,
1991,n,total,7.1,,
1993,n,m,7.2,,
1993,n,f,6.5,,
1993,n,total,6.9,,
1997,n,m,8.1,,
1997,n,f,10.2,,
1997,n,total,9.1,,
2000,n,m,15.3,,
2000,n,f,10.3,,
2000,n,total,12.9,,
2004,n,m,14.2,,
2004,n,f,15,,
2004,n,total,14.6,,
2009,n,m,12.6,,
2009,n,f,15.2,,
2009,n,total,13.8,,
